time	V(nc1t,nc1b)	V(n001)
Step Information: Iload=0  (Run: 1/6)
0.000000000000000e+000	1.758516e+001	4.998296e+001
1.999997389923180e-013	1.758516e+001	4.998296e+001
5.999992169769541e-013	1.758516e+001	4.998296e+001
9.000022949123832e-013	1.758516e+001	4.998296e+001
9.800008027305296e-013	1.758516e+001	4.998296e+001
7.505534571905503e-007	1.752934e+001	4.998271e+001
1.017220123855633e-006	1.752626e+001	4.998270e+001
1.683886790518341e-006	1.755706e+001	4.998285e+001
2.083334233335399e-006	1.760165e+001	4.998306e+001
2.083334333338738e-006	1.760165e+001	4.998306e+001
2.083334533338477e-006	1.760078e+001	4.998306e+001
2.083334933337955e-006	1.759751e+001	4.998306e+001
2.083335233334094e-006	1.759639e+001	4.998306e+001
2.123333233336466e-006	1.759639e+001	4.998446e+001
2.123333333339805e-006	1.759639e+001	4.998446e+001
2.123333533339544e-006	1.759639e+001	4.998446e+001
2.123333933339022e-006	1.759639e+001	4.998446e+001
2.123334233335161e-006	1.759639e+001	4.998446e+001
2.207220123860709e-006	1.759639e+001	4.998729e+001
2.273886790526980e-006	1.759639e+001	4.998944e+001
2.340553457193251e-006	1.759639e+001	4.999150e+001
2.407220123859521e-006	1.759639e+001	4.999347e+001
2.473886790525792e-006	1.759639e+001	4.999535e+001
2.607220123858334e-006	1.759639e+001	4.999881e+001
2.740553457190875e-006	1.759639e+001	5.000190e+001
2.873886790523417e-006	1.759639e+001	5.000462e+001
3.007220123855958e-006	1.759639e+001	5.000694e+001
3.140553457188500e-006	1.759639e+001	5.000889e+001
3.340553457187312e-006	1.759639e+001	5.001109e+001
3.540553457186124e-006	1.759639e+001	5.001241e+001
3.807220123851207e-006	1.759640e+001	5.001283e+001
4.007220123850019e-006	1.759640e+001	5.001212e+001
4.126667566668740e-006	1.759640e+001	5.001131e+001
4.126667666672079e-006	1.759640e+001	5.001131e+001
4.126667866671818e-006	1.759661e+001	5.001131e+001
4.126668266671296e-006	1.759742e+001	5.001131e+001
4.126668566674374e-006	1.759769e+001	5.001131e+001
4.166666566669808e-006	1.759888e+001	5.001098e+001
4.166666666666208e-006	1.759888e+001	5.001098e+001
4.166666866665947e-006	1.759888e+001	5.001098e+001
4.166667266665425e-006	1.759888e+001	5.001098e+001
4.166667566668503e-006	1.759888e+001	5.001098e+001
4.317220123860321e-006	1.760293e+001	5.000990e+001
4.450553457192863e-006	1.760598e+001	5.000907e+001
4.583886790525404e-006	1.760849e+001	5.000838e+001
4.717220123857946e-006	1.761046e+001	5.000784e+001
4.850553457190487e-006	1.761190e+001	5.000743e+001
4.983886790523029e-006	1.761280e+001	5.000715e+001
5.183886790521841e-006	1.761315e+001	5.000701e+001
5.250553457188112e-006	1.761300e+001	5.000703e+001
5.317220123854383e-006	1.761271e+001	5.000708e+001
5.383886790520653e-006	1.761229e+001	5.000717e+001
5.450553457186924e-006	1.761173e+001	5.000730e+001
5.517220123853195e-006	1.761105e+001	5.000745e+001
5.583886790519466e-006	1.761023e+001	5.000765e+001
5.650553457185736e-006	1.760926e+001	5.000788e+001
5.717220123852007e-006	1.760817e+001	5.000814e+001
5.783886790518278e-006	1.760695e+001	5.000844e+001
5.850553457184549e-006	1.760559e+001	5.000877e+001
5.917220123850819e-006	1.760410e+001	5.000913e+001
5.983886790517090e-006	1.760248e+001	5.000953e+001
6.117220123849632e-006	1.759883e+001	5.001044e+001
6.250000900001607e-006	1.759471e+001	5.001146e+001
6.250001000004946e-006	1.759471e+001	5.001146e+001
6.250001200004685e-006	1.759492e+001	5.001146e+001
6.250001600004163e-006	1.759571e+001	5.001146e+001
6.250001900000302e-006	1.759599e+001	5.001146e+001
6.289999900002674e-006	1.759599e+001	5.001177e+001
6.290000000006013e-006	1.759599e+001	5.001177e+001
6.290000200005752e-006	1.759599e+001	5.001177e+001
6.290000600005230e-006	1.759599e+001	5.001177e+001
6.290000900001369e-006	1.759599e+001	5.001177e+001
6.440553457193188e-006	1.759599e+001	5.001260e+001
6.640553457192000e-006	1.759599e+001	5.001296e+001
6.907220123857083e-006	1.759599e+001	5.001210e+001
7.107220123855895e-006	1.759599e+001	5.001043e+001
7.240553457188437e-006	1.759599e+001	5.000884e+001
7.373886790520978e-006	1.759600e+001	5.000687e+001
7.507220123853520e-006	1.759600e+001	5.000451e+001
7.640553457186061e-006	1.759600e+001	5.000177e+001
7.773886790518603e-006	1.759600e+001	4.999865e+001
7.840553457184873e-006	1.759600e+001	4.999695e+001
7.907220123851144e-006	1.759600e+001	4.999516e+001
7.973886790517415e-006	1.759600e+001	4.999327e+001
8.040553457183686e-006	1.759600e+001	4.999129e+001
8.107220123849956e-006	1.759600e+001	4.998922e+001
8.173886790516227e-006	1.759600e+001	4.998706e+001
8.253335233333881e-006	1.759600e+001	4.998437e+001
8.293334233334948e-006	1.759600e+001	4.998297e+001
8.293334333331348e-006	1.759600e+001	4.998297e+001
8.293334533331087e-006	1.759512e+001	4.998297e+001
8.293334933330565e-006	1.759187e+001	4.998297e+001
8.293335233333643e-006	1.759074e+001	4.998297e+001
8.333333233336016e-006	1.758582e+001	4.998294e+001
8.333333333332416e-006	1.758582e+001	4.998294e+001
8.333333533332155e-006	1.758582e+001	4.998294e+001
8.333333933331633e-006	1.758582e+001	4.998294e+001
8.333334233334711e-006	1.758582e+001	4.998294e+001
9.083886790522966e-006	1.753002e+001	4.998268e+001
9.350553457188049e-006	1.752694e+001	4.998266e+001
1.001722012385076e-005	1.755776e+001	4.998280e+001
1.041666756666781e-005	1.760236e+001	4.998300e+001
1.041666766667115e-005	1.760236e+001	4.998300e+001
1.041666786667089e-005	1.760148e+001	4.998300e+001
1.041666826667037e-005	1.759822e+001	4.998300e+001
1.041666856666651e-005	1.759709e+001	4.998300e+001
1.045666656666888e-005	1.759709e+001	4.998441e+001
1.045666666667222e-005	1.759709e+001	4.998441e+001
1.045666686667196e-005	1.759709e+001	4.998441e+001
1.045666726667144e-005	1.759709e+001	4.998441e+001
1.045666756666758e-005	1.759709e+001	4.998441e+001
1.054055345719313e-005	1.759709e+001	4.998723e+001
1.060722012385940e-005	1.759709e+001	4.998938e+001
1.067388679052567e-005	1.759709e+001	4.999144e+001
1.074055345719194e-005	1.759709e+001	4.999341e+001
1.080722012385821e-005	1.759709e+001	4.999529e+001
1.087388679052448e-005	1.759709e+001	4.999707e+001
1.100722012385702e-005	1.759710e+001	5.000034e+001
1.114055345718956e-005	1.759710e+001	5.000324e+001
1.127388679052210e-005	1.759710e+001	5.000576e+001
1.140722012385464e-005	1.759710e+001	5.000790e+001
1.154055345718719e-005	1.759710e+001	5.000965e+001
1.174055345718600e-005	1.759710e+001	5.001155e+001
1.200722012385108e-005	1.759709e+001	5.001273e+001
1.214055345718362e-005	1.759710e+001	5.001275e+001
1.234055345718244e-005	1.759710e+001	5.001205e+001
1.246000090000116e-005	1.759710e+001	5.001123e+001
1.246000100000450e-005	1.759710e+001	5.001123e+001
1.246000120000423e-005	1.759731e+001	5.001123e+001
1.246000160000371e-005	1.759811e+001	5.001123e+001
1.246000190000679e-005	1.759839e+001	5.001123e+001
1.249999990000222e-005	1.759958e+001	5.001091e+001
1.249999999999862e-005	1.759958e+001	5.001091e+001
1.250000019999836e-005	1.759958e+001	5.001091e+001
1.250000059999784e-005	1.759958e+001	5.001091e+001
1.250000090000092e-005	1.759958e+001	5.001091e+001
1.265055345719274e-005	1.760363e+001	5.000982e+001
1.278388679052528e-005	1.760667e+001	5.000899e+001
1.291722012385782e-005	1.760918e+001	5.000830e+001
1.305055345719036e-005	1.761116e+001	5.000775e+001
1.318388679052290e-005	1.761259e+001	5.000734e+001
1.331722012385544e-005	1.761349e+001	5.000707e+001
