time	V(ph1)	I(L)
Step Information: Freq=60K  (Run: 1/3)
0.000000000000000e+000	0.000000e+000	3.640907e-001
9.999986949615902e-014	0.000000e+000	3.640401e-001
2.999996084884771e-013	1.666667e-001	3.639857e-001
6.999990864731132e-013	7.857157e-001	3.639773e-001
9.999952255146383e-013	1.000000e+000	3.639358e-001
1.079993733332785e-012	1.000000e+000	3.639141e-001
1.239994218416030e-012	1.000000e+000	3.639203e-001
1.559991719135567e-012	1.000000e+000	3.640196e-001
1.999997389923180e-012	1.000000e+000	3.640759e-001
1.666666631094937e-010	1.000000e+000	3.617014e-001
1.667666629789899e-010	1.000000e+000	3.616999e-001
1.669666627179822e-010	1.000000e+000	3.616975e-001
1.673666621959669e-010	1.000000e+000	3.616933e-001
1.676666618044553e-010	1.000000e+000	3.616899e-001
2.113907929257586e-008	1.000000e+000	1.013700e-001
4.211057192532453e-008	1.000000e+000	-1.572079e-001
8.405355718735241e-008	1.000000e+000	-6.686608e-001
1.679395277114082e-007	1.000000e+000	-1.665722e+000
3.346061943770851e-007	1.000000e+000	-3.561818e+000
5.012728610427619e-007	1.000000e+000	-5.334603e+000
6.679395277084388e-007	1.000000e+000	-6.948407e+000
8.346061943741157e-007	1.000000e+000	-8.384003e+000
1.001272861039793e-006	1.000000e+000	-9.625896e+000
1.167939527705469e-006	1.000000e+000	-1.066242e+001
1.334606194371146e-006	1.000000e+000	-1.148575e+001
1.501272861036823e-006	1.000000e+000	-1.209186e+001
1.667939527702500e-006	1.000000e+000	-1.248045e+001
1.834606194368177e-006	1.000000e+000	-1.265473e+001
2.001272861033854e-006	1.000000e+000	-1.262128e+001
2.167939527699531e-006	1.000000e+000	-1.238974e+001
2.334606194365207e-006	1.000000e+000	-1.197255e+001
2.501272861030884e-006	1.000000e+000	-1.138464e+001
2.667939527696561e-006	1.000000e+000	-1.064302e+001
2.834606194362238e-006	1.000000e+000	-9.766480e+000
3.001272861027915e-006	1.000000e+000	-8.775158e+000
3.167939527693592e-006	1.000000e+000	-7.690180e+000
3.334606194359269e-006	1.000000e+000	-6.533266e+000
3.501272861024946e-006	1.000000e+000	-5.326350e+000
3.834606194356299e-006	1.000000e+000	-2.849158e+000
4.001272861021976e-006	1.000000e+000	-1.620635e+000
4.167939527687653e-006	1.000000e+000	-4.250010e-001
4.334606194353330e-006	1.000000e+000	7.197772e-001
4.501272861019007e-006	1.000000e+000	1.797345e+000
4.667939527684684e-006	1.000000e+000	2.793157e+000
4.834606194350360e-006	1.000000e+000	3.694630e+000
5.001272861016037e-006	1.000000e+000	4.491268e+000
5.167939527681714e-006	1.000000e+000	5.174733e+000
5.334606194347391e-006	1.000000e+000	5.738893e+000
5.501272861013068e-006	1.000000e+000	6.179820e+000
5.667939527678745e-006	1.000000e+000	6.495759e+000
5.834606194344422e-006	1.000000e+000	6.687060e+000
6.001272861010099e-006	1.000000e+000	6.756083e+000
6.167939527675775e-006	1.000000e+000	6.707070e+000
6.334606194341452e-006	1.000000e+000	6.545990e+000
6.501272861007129e-006	1.000000e+000	6.280371e+000
6.667939527672806e-006	1.000000e+000	5.919111e+000
6.834606194338483e-006	1.000000e+000	5.472266e+000
7.001272861004160e-006	1.000000e+000	4.950843e+000
7.167939527669837e-006	1.000000e+000	4.366577e+000
7.334606194335513e-006	1.000000e+000	3.731708e+000
7.501272861001190e-006	1.000000e+000	3.058761e+000
7.667939527666867e-006	1.000000e+000	2.360331e+000
8.001272860998221e-006	1.000000e+000	9.365107e-001
8.173075194368301e-006	1.000000e+000	2.079507e-001
8.210184527974312e-006	1.000000e+000	5.388268e-002
8.263032195029302e-006	1.000000e+000	-1.638537e-001
8.333167666664532e-006	1.000000e+000	-4.482027e-001
8.333167766664401e-006	1.000000e+000	-4.482031e-001
8.333167966664140e-006	1.000000e+000	-4.481018e-001
8.333168366663618e-006	1.000000e+000	-4.476807e-001
8.333168666666696e-006	1.000000e+000	-4.474414e-001
8.333333333332416e-006	1.000000e+000	-3.640907e-001
8.333333433332285e-006	1.000000e+000	-3.640401e-001
8.333333633332024e-006	1.000000e+000	-3.639857e-001
8.333334033331502e-006	1.000000e+000	-3.639773e-001
8.333334333331111e-006	1.000000e+000	-3.639358e-001
8.333334413329618e-006	1.000000e+000	-3.639141e-001
8.333334573330103e-006	8.333333e-001	-3.639203e-001
8.333334893331074e-006	2.894730e-001	-3.640196e-001
8.333335333329806e-006	0.000000e+000	-3.640759e-001
8.333499999998995e-006	0.000000e+000	-3.617014e-001
8.333500099998864e-006	0.000000e+000	-3.616999e-001
8.333500299998603e-006	0.000000e+000	-3.616974e-001
8.333500699998081e-006	0.000000e+000	-3.616933e-001
8.333500999997690e-006	0.000000e+000	-3.616899e-001
8.354472412628461e-006	0.000000e+000	-1.013700e-001
8.375443905261210e-006	0.000000e+000	1.572079e-001
