time	V(sw)
Step Information: Vhs=5 Delay2=3n  (Run: 1/4)
0.000000000000000e+000	1.236036e+001
5.489671217606684e-012	1.236036e+001
1.646900671392615e-011	1.236037e+001
3.063132386627032e-011	1.236045e+001
5.231107214065389e-011	1.236072e+001
8.501500892155178e-011	1.236168e+001
1.474651858957010e-010	1.236550e+001
2.335374046924521e-010	1.237549e+001
3.495704350986451e-010	1.239949e+001
5.364005142838302e-010	1.246733e+001
9.100606726542004e-010	1.266080e+001
9.972551673342878e-010	1.271782e+001
1.045128761312242e-009	1.275389e+001
1.140875949268150e-009	1.282772e+001
1.332370325179966e-009	1.297229e+001
1.714388110640730e-009	1.324790e+001
1.930335814803730e-009	1.339452e+001
2.083506096817178e-009	1.349203e+001
2.218947144083661e-009	1.357389e+001
2.347691811788177e-009	1.364792e+001
2.472821947208104e-009	1.371604e+001
2.611505914296153e-009	1.378653e+001
2.800306014849596e-009	1.387370e+001
3.044764704251968e-009	1.396989e+001
3.452035782225416e-009	1.409558e+001
3.852492859446333e-009	1.418286e+001
4.292243623027492e-009	1.424403e+001
4.628502241199595e-009	1.427312e+001
4.963169618343866e-009	1.429107e+001
5.319997463393289e-009	1.430352e+001
5.717117904091573e-009	1.431263e+001
6.132944839476462e-009	1.431888e+001
6.641006689012130e-009	1.432381e+001
7.196868719028249e-009	1.432722e+001
7.891526397629800e-009	1.432972e+001
8.665447109867941e-009	1.433117e+001
9.650489497803338e-009	1.433180e+001
1.076307031694368e-008	1.433157e+001
1.219704379856745e-008	1.433041e+001
1.383348963157616e-008	1.432841e+001
1.597102629313785e-008	1.432517e+001
1.830414354808685e-008	1.432119e+001
2.048813463328969e-008	1.431720e+001
2.262121156365593e-008	1.431313e+001
2.469124300852332e-008	1.430909e+001
2.678057696436920e-008	1.430493e+001
2.878929570432343e-008	1.430089e+001
3.077010357621646e-008	1.429688e+001
3.258256060789666e-008	1.429318e+001
3.428754132700496e-008	1.428969e+001
3.594304063408993e-008	1.428628e+001
3.767230681572809e-008	1.428272e+001
3.954263264049907e-008	1.427886e+001
4.216885046010033e-008	1.427343e+001
4.480779394050449e-008	1.426796e+001
4.871137843781570e-008	1.425987e+001
5.241925413873583e-008	1.425218e+001
5.831953568680159e-008	1.423995e+001
6.401392024790731e-008	1.422815e+001
7.445653343179925e-008	1.420658e+001
8.672786683261435e-008	1.418132e+001
1.112705336273057e-007	1.413119e+001
1.603558672166883e-007	1.403221e+001
2.270225338829590e-007	1.390014e+001
2.936892005492298e-007	1.377095e+001
3.603558672155005e-007	1.364489e+001
4.270225338817713e-007	1.352202e+001
4.936892005480420e-007	1.340237e+001
6.392900273183289e-007	1.315166e+001
6.674017146088285e-007	1.310530e+001
6.954416996163282e-007	1.305953e+001
6.954417996127282e-007	1.305865e+001
6.954419996124672e-007	1.305679e+001
6.954423996119452e-007	1.305277e+001
6.954426996150231e-007	1.304957e+001
6.954430779027021e-007	1.304856e+001
6.954435102304868e-007	1.304755e+001
6.954443748860562e-007	1.304581e+001
6.954455982616237e-007	1.304379e+001
6.954469688666420e-007	1.304197e+001
6.954486770349710e-007	1.304018e+001
6.954508198278586e-007	1.303841e+001
6.954538452758063e-007	1.303649e+001
6.954571530118359e-007	1.303492e+001
6.954608751733038e-007	1.303362e+001
6.954649749008057e-007	1.303258e+001
6.954698257011227e-007	1.303168e+001
6.954754803861762e-007	1.303090e+001
6.954827046698475e-007	1.303013e+001
6.954949654872089e-007	1.302899e+001
6.955059933533292e-007	1.302795e+001
6.955183547707744e-007	1.302661e+001
6.955304381120464e-007	1.302498e+001
6.955473654743360e-007	1.302194e+001
6.955688491433465e-007	1.301626e+001
6.955962725402332e-007	1.300502e+001
6.956200253108169e-007	1.298894e+001
6.956467079183293e-007	1.295948e+001
6.956737736429908e-007	1.291560e+001
6.956943303729202e-007	1.287166e+001
6.957187881004301e-007	1.281088e+001
6.957281739397581e-007	1.278607e+001
6.957352793879323e-007	1.276681e+001
6.957420284545157e-007	1.274846e+001
6.957483745378967e-007	1.273122e+001
6.957539355131881e-007	1.271615e+001
6.957595611103984e-007	1.270098e+001
6.957668886517499e-007	1.268133e+001
6.957759788178697e-007	1.265716e+001
6.957868220539010e-007	1.262865e+001
6.957997939691096e-007	1.259498e+001
6.958155025355017e-007	1.255484e+001
6.958349220501092e-007	1.250613e+001
6.958595870909523e-007	1.244555e+001
6.958920692884396e-007	1.236769e+001
6.959368651429654e-007	1.226327e+001
6.960024124119668e-007	1.211482e+001
6.960703192726570e-007	1.196512e+001
6.961333677349413e-007	1.182953e+001
6.961913439698653e-007	1.170781e+001
6.962464621437792e-007	1.159497e+001
6.962818576081165e-007	1.152449e+001
6.963098707971072e-007	1.147039e+001
6.963376713228775e-007	1.141859e+001
6.963725206268756e-007	1.135781e+001
6.964422192348718e-007	1.125150e+001
6.965368348627044e-007	1.113486e+001
6.965995509103373e-007	1.107816e+001
6.966531461496950e-007	1.104565e+001
6.967165736976311e-007	1.102143e+001
6.968149979108551e-007	1.099984e+001
6.968867266379797e-007	1.099194e+001
6.969644932783292e-007	1.098868e+001
6.970554706914323e-007	1.098770e+001
6.971610257353045e-007	1.098834e+001
6.973063051626816e-007	1.099038e+001
6.974813078972075e-007	1.099331e+001
6.977606569827377e-007	1.099806e+001
6.981833460609210e-007	1.100475e+001
6.990287242172877e-007	1.101622e+001
7.007194805230821e-007	1.103428e+001
7.027472861687034e-007	1.104985e+001
7.045859155979661e-007	1.105915e+001
7.063301826065738e-007	1.106465e+001
7.080204099604859e-007	1.106780e+001
7.097435895733750e-007	1.106944e+001
7.114439338345990e-007	1.106993e+001
7.131526587392245e-007	1.106960e+001
7.148432010356531e-007	1.106868e+001
7.165590585056503e-007	1.106731e+001
7.182978758457637e-007	1.106560e+001
7.201060437805884e-007	1.106356e+001
7.220094404777888e-007	1.106122e+001
7.240795914312259e-007	1.105851e+001
7.263824040870670e-007	1.105537e+001
7.290482372315776e-007	1.105162e+001
7.322328500064534e-007	1.104706e+001
7.333875049128635e-007	1.104539e+001
7.351323898022177e-007	1.104285e+001
7.361323898016914e-007	1.104140e+001
7.368230799872921e-007	1.104039e+001
7.374416996150379e-007	1.103948e+001
7.374430911408214e-007	1.103948e+001
7.374458741923884e-007	1.103948e+001
7.374499772991316e-007	1.103947e+001
7.374541588292538e-007	1.103946e+001
7.374625218825592e-007	1.103945e+001
7.374792479961090e-007	1.103942e+001
7.375127002232085e-007	1.103935e+001
7.375796046774075e-007	1.103922e+001
7.377134135788666e-007	1.103892e+001
7.379810313817847e-007	1.103832e+001
7.381918574744795e-007	1.103785e+001
7.384416996145116e-007	1.103729e+001
7.384666838305964e-007	1.103724e+001
7.385166522558273e-007	1.103716e+001
7.386165891132279e-007	1.103701e+001
7.387093180974413e-007	1.103688e+001
7.387991423912776e-007	1.103678e+001
7.388865322019433e-007	1.103669e+001
7.389768958768195e-007	1.103663e+001
7.390893903211349e-007	1.103659e+001
7.392104912698483e-007	1.103664e+001
7.393435405775306e-007	1.103688e+001
7.394850303904521e-007	1.103754e+001
7.396354641323044e-007	1.103904e+001
7.397956362648062e-007	1.104235e+001
7.399686316536536e-007	1.104919e+001
7.401131985537712e-007	1.105970e+001
7.402646012913405e-007	1.107901e+001
7.404229742935531e-007	1.111278e+001
7.405794746687122e-007	1.116754e+001
7.407186583402448e-007	1.125255e+001
7.408834607550152e-007	1.143578e+001
7.410493391771245e-007	1.177088e+001
7.412196049438879e-007	1.234890e+001
7.413924871801925e-007	1.320402e+001
7.415216374540012e-007	1.403576e+001
7.416467086851508e-007	1.500251e+001
7.417829140723975e-007	1.617958e+001
7.418745942983085e-007	1.702830e+001
7.420178851358372e-007	1.839970e+001
7.421622299635944e-007	1.977145e+001
7.423730416303287e-007	2.168358e+001
7.426180022515605e-007	2.371470e+001
7.428538189233058e-007	2.541581e+001
7.430863437976609e-007	2.680700e+001
7.432664688930557e-007	2.767391e+001
7.433980489038317e-007	2.818140e+001
7.435456755369718e-007	2.865790e+001
7.436507797747849e-007	2.895450e+001
7.437362721379737e-007	2.916834e+001
7.438374921356350e-007	2.939080e+001
7.439944525802766e-007	2.968191e+001
7.441363751928276e-007	2.988535e+001
7.442945421515246e-007	3.004126e+001
7.444541329504339e-007	3.014289e+001
7.445803864164491e-007	3.019336e+001
7.447307219174415e-007	3.023273e+001
7.448674938931310e-007	3.025780e+001
7.450502044273333e-007	3.028137e+001
7.452408640543085e-007	3.029882e+001
7.454845797894016e-007	3.031429e+001
7.457356858697750e-007	3.032531e+001
7.460425926891778e-007	3.033447e+001
7.463693251913428e-007	3.034118e+001
7.467705218228149e-007	3.034682e+001
7.471697724414916e-007	3.035053e+001
7.475809052359672e-007	3.035299e+001
7.481262184888537e-007	3.035522e+001
7.486813297027939e-007	3.035665e+001
7.493353939985736e-007	3.035755e+001
7.501881167659708e-007	3.035805e+001
7.512138553711356e-007	3.035797e+001
7.524954043144905e-007	3.035720e+001
7.540336966968542e-007	3.035578e+001
7.555934754890914e-007	3.035393e+001
7.587130330666270e-007	3.034960e+001
7.616986176794960e-007	3.034502e+001
7.676697869121729e-007	3.033522e+001
7.750817924839781e-007	3.032259e+001
7.846629329483212e-007	3.030586e+001
7.955506326554063e-007	3.028660e+001
8.110127593941030e-007	3.025896e+001
8.322584689052226e-007	3.022059e+001
8.693110671309512e-007	3.015264e+001
9.359777337972219e-007	3.002787e+001
1.002644400463493e-006	2.990006e+001
1.069311067129763e-006	2.976887e+001
1.135977733796034e-006	2.963434e+001
1.202644400462305e-006	2.949654e+001
1.283219477392350e-006	2.932643e+001
1.311036297919899e-006	2.926626e+001
1.349886144058621e-006	2.918166e+001
1.349886244055021e-006	2.918253e+001
1.349886444054760e-006	2.918438e+001
1.349886844054238e-006	2.918836e+001
1.349887144057316e-006	2.919151e+001
1.349887311700992e-006	2.919194e+001
1.349887535223582e-006	2.919247e+001
1.349887982268760e-006	2.919342e+001
1.349888601502591e-006	2.919459e+001
1.349889206102295e-006	2.919557e+001
1.349889734214571e-006	2.919632e+001
1.349890216259531e-006	2.919693e+001
1.349890704355206e-006	2.919750e+001
1.349891207896858e-006	2.919803e+001
1.349891934378233e-006	2.919873e+001
1.349892811058906e-006	2.919949e+001
1.349893944124769e-006	2.920036e+001
1.349895292969416e-006	2.920126e+001
1.349897114935605e-006	2.920230e+001
1.349899304232960e-006	2.920334e+001
1.349902341213349e-006	2.920444e+001
1.349906858572059e-006	2.920556e+001
1.349913121867497e-006	2.920646e+001
1.349920624574286e-006	2.920688e+001
1.349929485798540e-006	2.920681e+001
1.349940184733334e-006	2.920630e+001
1.349953761595191e-006	2.920534e+001
1.349971478756262e-006	2.920383e+001
1.349995881805288e-006	2.920144e+001
1.350016755045924e-006	2.919902e+001
1.350037658241765e-006	2.919597e+001
1.350056644817965e-006	2.919229e+001
1.350072277445102e-006	2.918812e+001
1.350086448553833e-006	2.918286e+001
1.350100477540139e-006	2.917560e+001
1.350115727459522e-006	2.916453e+001
1.350135405794872e-006	2.914447e+001
1.350161146405904e-006	2.911045e+001
1.350176435439832e-006	2.908656e+001
1.350184365381257e-006	2.907293e+001
1.350191388513333e-006	2.906035e+001
1.350197783363261e-006	2.904863e+001
1.350203551374329e-006	2.903786e+001
1.350209281034132e-006	2.902699e+001
1.350215437789792e-006	2.901515e+001
1.350223733619094e-006	2.899895e+001
1.350233598505779e-006	2.897936e+001
1.350245525000293e-006	2.895525e+001
1.350259771069895e-006	2.892590e+001
1.350277197914584e-006	2.888926e+001
1.350298814740969e-006	2.884279e+001
1.350326425821058e-006	2.878201e+001
1.350362814740713e-006	2.869987e+001
1.350412876771623e-006	2.858395e+001
1.350474870105700e-006	2.843703e+001
1.350544455387681e-006	2.826891e+001
1.350618879292220e-006	2.808648e+001
1.350691505461188e-006	2.790666e+001
1.350768073553332e-006	2.771576e+001
1.350847606114425e-006	2.751651e+001
1.350935234317729e-006	2.729620e+001
1.351030145348153e-006	2.705697e+001
1.351138625767245e-006	2.678301e+001
1.351262518239915e-006	2.646972e+001
1.351412249626927e-006	2.609079e+001
1.351594578979931e-006	2.562927e+001
1.351828627593754e-006	2.503704e+001
1.352126065841397e-006	2.428499e+001
1.352512518780491e-006	2.330867e+001
1.353002709800211e-006	2.207040e+001
1.353687359213762e-006	2.033914e+001
1.354769964219404e-006	1.760213e+001
1.355667055162602e-006	1.534226e+001
1.356030236418504e-006	1.443865e+001
1.356177165290351e-006	1.409111e+001
1.356258419148160e-006	1.392284e+001
1.356330123269967e-006	1.380541e+001
1.356397455833103e-006	1.372740e+001
1.356460820590988e-006	1.368204e+001
1.356520945954010e-006	1.366111e+001
1.356620486885063e-006	1.365172e+001
1.356708413141616e-006	1.365631e+001
1.356817650143005e-006	1.367060e+001
1.356936423550781e-006	1.368911e+001
1.357083828437689e-006	1.371294e+001
1.357294399623177e-006	1.374631e+001
1.357615929314937e-006	1.379443e+001
1.358258988691519e-006	1.388194e+001
1.359183238611172e-006	1.398997e+001
1.360712446676904e-006	1.413354e+001
1.362499903838355e-006	1.425998e+001
1.364499595757351e-006	1.435953e+001
1.366719587461707e-006	1.443454e+001
1.368774984376875e-006	1.448039e+001
1.370887454131553e-006	1.451059e+001
1.373068356763652e-006	1.453002e+001
1.375492953821500e-006	1.454231e+001
1.378463161179344e-006	1.454927e+001
1.381938166608587e-006	1.455082e+001
1.386462799859989e-006	1.454790e+001
1.387462799859462e-006	1.454668e+001
1.389462799858410e-006	1.454364e+001
1.390462799857883e-006	1.454203e+001
1.390886144057857e-006	1.454133e+001
1.391039455657384e-006	1.454107e+001
1.391346078856437e-006	1.454054e+001
1.391886144057331e-006	1.453961e+001
1.391888363802551e-006	1.453960e+001
1.391892803292993e-006	1.453960e+001
1.391901682273877e-006	1.453961e+001
1.391919440228706e-006	1.453971e+001
1.391954956145303e-006	1.454024e+001
1.391991146432181e-006	1.454141e+001
1.392040132580652e-006	1.454430e+001
1.392096212672611e-006	1.454992e+001
1.392183784088008e-006	1.456422e+001
1.392312344368485e-006	1.459830e+001
1.392534110356003e-006	1.468948e+001
1.392808560089776e-006	1.484111e+001
1.392886144056804e-006	1.489270e+001
1.392896599596016e-006	1.490058e+001
1.392917510681380e-006	1.491647e+001
1.392959332852106e-006	1.494863e+001
1.393042977186620e-006	1.501336e+001
1.393155924317435e-006	1.510027e+001
1.393280234802952e-006	1.519391e+001
1.393455895309925e-006	1.532112e+001
1.393732540690140e-006	1.551199e+001
1.393915369157783e-006	1.563148e+001
1.394053381897908e-006	1.571670e+001
1.394184677191990e-006	1.579377e+001
1.394309294258656e-006	1.586324e+001
1.394439032000039e-006	1.593120e+001
1.394609059193752e-006	1.601314e+001
1.394826744827160e-006	1.610547e+001
1.395145248092589e-006	1.621621e+001
1.395529727728218e-006	1.631558e+001
1.395972587074634e-006	1.639268e+001
1.396329132187513e-006	1.643190e+001
1.396651583877862e-006	1.645369e+001
1.397011598673614e-006	1.646926e+001
1.397373226665055e-006	1.647950e+001
1.397769698339990e-006	1.648685e+001
1.398223698427514e-006	1.649235e+001
1.398745379167787e-006	1.649641e+001
1.399356088040149e-006	1.649934e+001
1.400074389965034e-006	1.650128e+001
1.400933181065767e-006	1.650236e+001
1.401957603452964e-006	1.650260e+001
1.403199290823942e-006	1.650201e+001
1.404696357065749e-006	1.650055e+001
1.406533303438540e-006	1.649811e+001
1.408772811420378e-006	1.649461e+001
1.411068073116362e-006	1.649067e+001
1.413253890011901e-006	1.648670e+001
1.415380307623337e-006	1.648271e+001
1.417479930335142e-006	1.647868e+001
1.419558863027803e-006	1.647463e+001
1.421585297319006e-006	1.647064e+001
1.423530797559081e-006	1.646679e+001
1.425141921931883e-006	1.646358e+001
1.426850395377932e-006	1.646016e+001
1.428389229646276e-006	1.645708e+001
1.429931731425360e-006	1.645398e+001
1.431936344095663e-006	1.644994e+001
1.434435206539020e-006	1.644490e+001
1.437355439184995e-006	1.643900e+001
1.440942664486522e-006	1.643174e+001
1.445070883496213e-006	1.642339e+001
1.450421128590396e-006	1.641256e+001
1.456842499768241e-006	1.639956e+001
1.466040023830051e-006	1.638098e+001
1.478159310827620e-006	1.635656e+001
1.499673075236463e-006	1.631342e+001
1.540510641190318e-006	1.623221e+001
1.607177307856589e-006	1.610122e+001
1.673843974522860e-006	1.597222e+001
1.740510641189130e-006	1.584546e+001
1.807177307855401e-006	1.572099e+001
1.873843974521672e-006	1.559886e+001
1.940510641187943e-006	1.547911e+001
2.047637149789339e-006	1.529133e+001
2.087330588498859e-006	1.522340e+001
2.087330688502198e-006	1.522253e+001
2.087330888501937e-006	1.522067e+001
2.087331288501415e-006	1.521667e+001
2.087331588504493e-006	1.521348e+001
2.087331972634721e-006	1.521248e+001
2.087332411637721e-006	1.521148e+001
2.087333289643722e-006	1.520977e+001
2.087334518841022e-006	1.520781e+001
2.087335903774856e-006	1.520604e+001
2.087337622337648e-006	1.520430e+001
2.087339788264808e-006	1.520256e+001
2.087342863957287e-006	1.520065e+001
2.087346172477411e-006	1.519908e+001
2.087349974644326e-006	1.519774e+001
2.087354096236282e-006	1.519666e+001
2.087359066142713e-006	1.519569e+001
2.087364814030990e-006	1.519485e+001
2.087372518007336e-006	1.519397e+001
2.087384974806816e-006	1.519273e+001
2.087398043443267e-006	1.519141e+001
2.087410113094101e-006	1.519000e+001
2.087424121888226e-006	1.518793e+001
2.087441875187057e-006	1.518424e+001
2.087469055507552e-006	1.517574e+001
2.087494803279522e-006	1.516283e+001
2.087519340505939e-006	1.514246e+001
2.087545693342519e-006	1.510799e+001
2.087572255074499e-006	1.505918e+001
2.087592043203967e-006	1.501370e+001
2.087614301281293e-006	1.495643e+001
2.087621755617053e-006	1.493645e+001
2.087628491423410e-006	1.491814e+001
2.087634646597003e-006	1.490139e+001
2.087640873095487e-006	1.488449e+001
2.087647074849874e-006	1.486771e+001
2.087653351537377e-006	1.485083e+001
2.087662251244737e-006	1.482707e+001
2.087672412921793e-006	1.480020e+001
2.087684860478667e-006	1.476768e+001
2.087699650522856e-006	1.472960e+001
2.087717970201963e-006	1.468322e+001
2.087740933520710e-006	1.462622e+001
2.087770928534127e-006	1.455344e+001
2.087811648121551e-006	1.445718e+001
2.087870236325284e-006	1.432237e+001
2.087932202694820e-006	1.418337e+001
2.087990550417307e-006	1.405547e+001
2.088046672371613e-006	1.393503e+001
2.088099798548682e-006	1.382353e+001
2.088147030461507e-006	1.372686e+001
2.088178683135045e-006	1.366387e+001
2.088206148553873e-006	1.361089e+001
2.088232965678782e-006	1.356151e+001
2.088286599928602e-006	1.347235e+001
2.088383060143417e-006	1.333968e+001
2.088474250018513e-006	1.324604e+001
2.088531228197632e-006	1.320749e+001
2.088599322193352e-006	1.317941e+001
2.088672728599306e-006	1.316140e+001
2.088744564650302e-006	1.315210e+001
2.088825044613274e-006	1.314743e+001
2.088919080982243e-006	1.314571e+001
2.089025540913392e-006	1.314603e+001
2.089163228802260e-006	1.314782e+001
2.089336281423104e-006	1.315068e+001
2.089610347748294e-006	1.315535e+001
2.090011237139422e-006	1.316174e+001
2.090813015921678e-006	1.317280e+001
2.092416573493128e-006	1.319047e+001
2.094196478140409e-006	1.320496e+001
2.095847104664761e-006	1.321409e+001
2.097622920700648e-006	1.322046e+001
2.099258636874268e-006	1.322406e+001
2.100958850066725e-006	1.322607e+001
2.102564841739707e-006	1.322679e+001
2.104217633989991e-006	1.322665e+001
2.105811555935810e-006	1.322590e+001
2.107454969910161e-006	1.322464e+001
2.109081544882097e-006	1.322305e+001
2.110801621706127e-006	1.322108e+001
2.112574963915315e-006	1.321883e+001
2.114553682028286e-006	1.321614e+001
2.116704572389938e-006	1.321306e+001
2.119297994505887e-006	1.320923e+001
2.120300492736149e-006	1.320772e+001
2.121325592040202e-006	1.320615e+001
2.122325592039676e-006	1.320461e+001
2.123330588500727e-006	1.320306e+001
2.123332821263313e-006	1.320306e+001
2.123337286795424e-006	1.320305e+001
2.123342627557978e-006	1.320304e+001
2.123347978749690e-006	1.320303e+001
2.123358681133114e-006	1.320301e+001
2.123380085899962e-006	1.320297e+001
2.123422895433658e-006	1.320288e+001
2.123508514507988e-006	1.320268e+001
2.123679752656649e-006	1.320227e+001
2.124022228953970e-006	1.320143e+001
2.124330588500201e-006	1.320067e+001
2.124361424452048e-006	1.320061e+001
2.124423096362682e-006	1.320050e+001
2.124546440183950e-006	1.320030e+001
2.124652029172891e-006	1.320016e+001
2.124747951699757e-006	1.320005e+001
2.124846628842603e-006	1.319996e+001
2.124939177478025e-006	1.319990e+001
2.125045877023057e-006	1.319989e+001
2.125167301435249e-006	1.319999e+001
2.125299562776017e-006	1.320034e+001
2.125442608316708e-006	1.320121e+001
2.125595549483383e-006	1.320318e+001
2.125760002573418e-006	1.320753e+001
2.125939856795212e-006	1.321684e+001
2.126105831029568e-006	1.323269e+001
2.126261255105955e-006	1.325885e+001
2.126429725649026e-006	1.330906e+001
2.126620331069362e-006	1.341014e+001
2.126780447690713e-006	1.357252e+001
2.126958201044416e-006	1.390436e+001
2.127121585870917e-006	1.442172e+001
2.127309875074590e-006	1.529444e+001
2.127445465391342e-006	1.610755e+001
2.127574194640824e-006	1.702726e+001
2.127715478063286e-006	1.814267e+001
2.127809553040261e-006	1.892839e+001
2.127960524643535e-006	2.021803e+001
2.128097597919876e-006	2.137105e+001
2.128321159027002e-006	2.315889e+001
2.128561996973810e-006	2.488861e+001
2.128868828582542e-006	2.674509e+001
2.129084076873955e-006	2.779041e+001
2.129209762405382e-006	2.826884e+001
2.129367201356147e-006	2.876623e+001
2.129467893505210e-006	2.904506e+001
2.129560561177357e-006	2.927170e+001
2.129667543981917e-006	2.950366e+001
2.129787574071951e-006	2.972720e+001
2.129908049187945e-006	2.990521e+001
2.130074182503383e-006	3.008150e+001
2.130233623921785e-006	3.019336e+001
2.130370136473048e-006	3.025287e+001
2.130520397401747e-006	3.029529e+001
2.130659087822007e-006	3.032231e+001
2.130833821965827e-006	3.034627e+001
2.131024004002613e-006	3.036481e+001
2.131265034462093e-006	3.038116e+001
2.131516743143769e-006	3.039296e+001
2.131817416040072e-006	3.040255e+001
2.132144650827950e-006	3.040965e+001
2.132538346383273e-006	3.041544e+001
2.132976383288632e-006	3.041977e+001
2.133462435563449e-006	3.042285e+001
2.133895441285005e-006	3.042466e+001
2.134447610817325e-006	3.042610e+001
2.135551949888903e-006	3.042751e+001
2.136624576640211e-006	3.042778e+001
2.137806259190633e-006	3.042725e+001
2.139043251990491e-006	3.042620e+001
2.140929945951275e-006	3.042402e+001
2.143576411900439e-006	3.042036e+001
2.146115327290865e-006	3.041642e+001
2.150485034504990e-006	3.040915e+001
2.155094699550497e-006	3.040114e+001
2.164314029641512e-006	3.038462e+001
2.173256448918803e-006	3.036830e+001
2.187190301747299e-006	3.034256e+001
2.202322893239683e-006	3.031433e+001
2.230477544586107e-006	3.026125e+001
2.270879601001807e-006	3.018386e+001
2.337546267668078e-006	3.005352e+001
2.404212934334349e-006	2.992008e+001
2.470879601000620e-006	2.978326e+001
2.537546267666890e-006	2.964310e+001
2.604212934333161e-006	2.949968e+001
2.670879600999432e-006	2.935378e+001
2.675108366281820e-006	2.934441e+001
2.683565896846596e-006	2.932554e+001
2.700480957976148e-006	2.928768e+001
2.707944910688986e-006	2.927091e+001
2.722872816114663e-006	2.923722e+001
2.741775032948091e-006	2.919441e+001
2.741775132951430e-006	2.919528e+001
2.741775332951169e-006	2.919713e+001
2.741775732950647e-006	2.920112e+001
2.741776032946786e-006	2.920429e+001
2.741776203518676e-006	2.920473e+001
2.741776430954801e-006	2.920528e+001
2.741776885820113e-006	2.920627e+001
2.741777524802036e-006	2.920749e+001
2.741778157691610e-006	2.920854e+001
2.741778727034794e-006	2.920936e+001
2.741779224310625e-006	2.921000e+001
2.741779728150651e-006	2.921059e+001
2.741780237486280e-006	2.921114e+001
2.741780859120968e-006	2.921175e+001
2.741781708365254e-006	2.921251e+001
2.741782786044866e-006	2.921337e+001
2.741784077296694e-006	2.921426e+001
2.741785705889788e-006	2.921523e+001
2.741787862442502e-006	2.921629e+001
2.741790763143015e-006	2.921738e+001
2.741794817372190e-006	2.921844e+001
2.741800439957920e-006	2.921929e+001
2.741807678799391e-006	2.921972e+001
2.741815907723877e-006	2.921967e+001
2.741826117202972e-006	2.921917e+001
2.741838675428265e-006	2.921826e+001
2.741855632676371e-006	2.921677e+001
2.741878534377740e-006	2.921448e+001
2.741899747117638e-006	2.921198e+001
2.741921031619576e-006	2.920883e+001
2.741941444256435e-006	2.920483e+001
2.741957609520007e-006	2.920045e+001
2.741971930189657e-006	2.919502e+001
2.741986147074271e-006	2.918747e+001
2.742001874070366e-006	2.917564e+001
2.742021490732827e-006	2.915475e+001
2.742047010152737e-006	2.911889e+001
2.742066375197028e-006	2.908639e+001
2.742074103202763e-006	2.907207e+001
2.742080936146696e-006	2.905884e+001
2.742087270038440e-006	2.904630e+001
2.742093411917113e-006	2.903393e+001
2.742099523576902e-006	2.902144e+001
2.742105495522063e-006	2.900906e+001
2.742114299104925e-006	2.899054e+001
2.742124311262695e-006	2.896914e+001
2.742136654819427e-006	2.894231e+001
2.742151259643721e-006	2.890997e+001
2.742169284836171e-006	2.886925e+001
2.742191630648871e-006	2.881768e+001
2.742220349551128e-006	2.874986e+001
2.742258333514325e-006	2.865793e+001
2.742310946921012e-006	2.852745e+001
2.742374721337315e-006	2.836576e+001
2.742444983383496e-006	2.818436e+001
2.742519429659029e-006	2.798959e+001
