time	V(sw)
Step Information: Vhs=5 Delay2=3n Rgate=1  (Run: 1/4)
0.000000000000000e+000	1.192537e+001
3.244710056193867e-012	1.192539e+001
9.734130168581601e-012	1.192549e+001
1.850918029955295e-011	1.192580e+001
2.837670376454327e-011	1.192645e+001
3.812636317768181e-011	1.192749e+001
4.870139708179622e-011	1.192921e+001
6.269228886024436e-011	1.193262e+001
8.368947201908839e-011	1.194042e+001
1.150938025440418e-010	1.195890e+001
1.691323539554368e-010	1.200806e+001
2.350147298990635e-010	1.209692e+001
3.289842981368807e-010	1.227186e+001
4.355129382127565e-010	1.251964e+001
5.107460565589861e-010	1.272143e+001
5.536964636787545e-010	1.284629e+001
5.845913197966013e-010	1.293958e+001
6.092958082515310e-010	1.301551e+001
6.311467529163117e-010	1.308328e+001
6.516178777116188e-010	1.314698e+001
6.716505893122893e-010	1.320921e+001
6.935549842768118e-010	1.327669e+001
7.207897195771196e-010	1.335905e+001
7.525749953773975e-010	1.345166e+001
7.930804346578668e-010	1.356071e+001
8.560911285426798e-010	1.370735e+001
9.236864259576372e-010	1.383202e+001
9.770415379528608e-010	1.390472e+001
9.983776444455472e-010	1.392628e+001
1.002349606094022e-009	1.392951e+001
1.010293536329865e-009	1.393516e+001
1.026181396801551e-009	1.394484e+001
1.057957117744923e-009	1.396003e+001
1.090697393513196e-009	1.397144e+001
1.127568295677950e-009	1.398046e+001
1.161063252486105e-009	1.398639e+001
1.200870153317268e-009	1.399158e+001
1.246170215629672e-009	1.399597e+001
1.311466039932707e-009	1.400050e+001
1.392216925077960e-009	1.400437e+001
1.502249415141765e-009	1.400784e+001
1.623280454499110e-009	1.401026e+001
1.780955868890821e-009	1.401212e+001
1.966042925682920e-009	1.401331e+001
2.162465435884275e-009	1.401389e+001
2.377209783188672e-009	1.401403e+001
2.573897199542596e-009	1.401388e+001
2.776344994182001e-009	1.401355e+001
2.969864527913035e-009	1.401311e+001
3.170749815484264e-009	1.401256e+001
3.364901884905791e-009	1.401198e+001
3.562856065730813e-009	1.401133e+001
3.754439613368188e-009	1.401068e+001
3.946514781638655e-009	1.401000e+001
4.131155570408218e-009	1.400932e+001
4.310255034833954e-009	1.400865e+001
4.476422080235132e-009	1.400803e+001
4.660849872717421e-009	1.400732e+001
4.868569034033321e-009	1.400651e+001
5.103682858276226e-009	1.400560e+001
5.374671138702603e-009	1.400453e+001
5.680982649580724e-009	1.400331e+001
6.053615324297379e-009	1.400183e+001
6.486631058677528e-009	1.400009e+001
7.054038873854918e-009	1.399781e+001
7.747379481004568e-009	1.399502e+001
8.770154977244538e-009	1.399090e+001
1.014265788717994e-008	1.398536e+001
1.266348757106295e-008	1.397520e+001
1.658146241839686e-008	1.395941e+001
7.143311023943832e-008	1.373981e+001
1.341207077551476e-007	1.349148e+001
2.007873744214184e-007	1.323019e+001
2.674540410876891e-007	1.297221e+001
3.341207077539599e-007	1.271770e+001
4.007873744202306e-007	1.246676e+001
4.674540410865014e-007	1.221947e+001
5.341207077527721e-007	1.197595e+001
6.394652600841266e-007	1.159809e+001
6.608434694119203e-007	1.152291e+001
6.954428220934394e-007	1.140177e+001
6.954429220898395e-007	1.140138e+001
6.954431220895785e-007	1.140054e+001
6.954435220890565e-007	1.139873e+001
6.954438220921344e-007	1.139728e+001
6.954438669798391e-007	1.139722e+001
6.954439567621873e-007	1.139711e+001
6.954441363268837e-007	1.139689e+001
6.954444954493377e-007	1.139648e+001
6.954452136942457e-007	1.139578e+001
6.954466501910006e-007	1.139463e+001
6.954485971127911e-007	1.139343e+001
6.954509458659275e-007	1.139234e+001
6.954540221482120e-007	1.139128e+001
6.954575580628286e-007	1.139037e+001
6.954612686432826e-007	1.138967e+001
6.954656775678969e-007	1.138906e+001
6.954709050668861e-007	1.138851e+001
6.954777558298986e-007	1.138797e+001
6.954872029396597e-007	1.138735e+001
6.955010845022258e-007	1.138655e+001
6.955159173802072e-007	1.138571e+001
6.955316664211675e-007	1.138477e+001
6.955504176855976e-007	1.138354e+001
6.955773621669659e-007	1.138145e+001
6.956201742819301e-007	1.137704e+001
6.956936467808483e-007	1.136585e+001
6.957607306817826e-007	1.134929e+001
6.958158830852601e-007	1.132614e+001
6.958664837755646e-007	1.129037e+001
6.959181404683767e-007	1.123327e+001
6.959611045520564e-007	1.116648e+001
6.959909139153675e-007	1.110679e+001
6.960256704394152e-007	1.102401e+001
6.960608583822525e-007	1.093089e+001
6.960767423014325e-007	1.088591e+001
6.960909645775670e-007	1.084402e+001
6.961034851246661e-007	1.080642e+001
6.961162836577328e-007	1.076745e+001
6.961290300935841e-007	1.072827e+001
6.961423386908638e-007	1.068708e+001
6.961608241817796e-007	1.062971e+001
6.961820489051473e-007	1.056400e+001
6.962079603448079e-007	1.048461e+001
6.962388885423110e-007	1.039200e+001
6.962772905738657e-007	1.028176e+001
6.963257736108952e-007	1.015192e+001
6.963819737526578e-007	1.001593e+001
6.964379169888124e-007	9.897966e+000
6.964981436319295e-007	9.791167e+000
6.965640364370307e-007	9.696683e+000
6.966471036984334e-007	9.604147e+000
6.967347641884114e-007	9.530699e+000
6.968237110036024e-007	9.476564e+000
6.969288256428174e-007	9.430726e+000
6.970308393597358e-007	9.399288e+000
6.971460793578355e-007	9.374824e+000
6.972682378841855e-007	9.357114e+000
6.973936174450857e-007	9.344943e+000
6.975213139998049e-007	9.336699e+000
6.976554635038101e-007	9.330888e+000
6.977945187502943e-007	9.326698e+000
6.979397139394994e-007	9.323505e+000
6.981152406507207e-007	9.320610e+000
6.983233812457579e-007	9.318035e+000
6.985461852224151e-007	9.315967e+000
6.987566333396811e-007	9.314459e+000
6.989667422629964e-007	9.313241e+000
6.991733563013747e-007	9.312221e+000
6.993848966282967e-007	9.311292e+000
6.995950762242464e-007	9.310442e+000
6.998099567542826e-007	9.309623e+000
7.000257855743763e-007	9.308832e+000
7.002492977553620e-007	9.308035e+000
7.004785212566533e-007	9.307230e+000
7.007218024365769e-007	9.306387e+000
7.009806638549887e-007	9.305495e+000
7.012972150152730e-007	9.304411e+000
7.016593567971130e-007	9.303174e+000
7.021150479694094e-007	9.301620e+000
7.026638965262899e-007	9.299751e+000
7.034124117483165e-007	9.297202e+000
7.044265131900263e-007	9.293752e+000
7.275552826591092e-007	9.215363e+000
7.335552826559511e-007	9.195127e+000
7.345552826554247e-007	9.191757e+000
7.354428220932019e-007	9.188768e+000
7.361175854633806e-007	9.186497e+000
7.365431375985776e-007	9.185064e+000
7.373942418689716e-007	9.182199e+000
7.374428220921492e-007	9.182036e+000
7.374431136228377e-007	9.182034e+000
7.374436966911535e-007	9.182032e+000
7.374443633662020e-007	9.182028e+000
7.374450534183841e-007	9.182023e+000
7.374464335158093e-007	9.182015e+000
7.374491937175987e-007	9.182000e+000
7.374547141142385e-007	9.181969e+000
7.374657549075181e-007	9.181902e+000
7.374878365010162e-007	9.181761e+000
7.375276808024855e-007	9.181492e+000
7.375846775015127e-007	9.181102e+000
7.376674310763387e-007	9.180547e+000
7.377228505370259e-007	9.180190e+000
7.377599059582574e-007	9.179964e+000
7.377898084345858e-007	9.179789e+000
7.378152698106488e-007	9.179644e+000
7.378380872946622e-007	9.179519e+000
7.378594283624640e-007	9.179405e+000
7.378804177254894e-007	9.179299e+000
7.379053522868495e-007	9.179183e+000
7.379315853234258e-007	9.179075e+000
7.379592407638635e-007	9.178991e+000
7.379874463683822e-007	9.178960e+000
7.380159097319927e-007	9.179033e+000
7.380444431645539e-007	9.179311e+000
7.380730468672936e-007	9.179994e+000
7.381019236155084e-007	9.181504e+000
7.381315309945569e-007	9.184485e+000
7.381531029193589e-007	9.188355e+000
7.381727673630434e-007	9.194110e+000
7.381896721878056e-007	9.201715e+000
7.382071850470240e-007	9.213354e+000
7.382234937097776e-007	9.229417e+000
7.382436198397069e-007	9.259316e+000
7.382663037569515e-007	9.312289e+000
7.382940242009473e-007	9.417252e+000
7.383238220387556e-007	9.605886e+000
7.383582908970787e-007	9.964603e+000
7.383920843026526e-007	1.051780e+001
7.384296113466249e-007	1.135926e+001
7.384428220916228e-007	1.171611e+001
7.384435703819414e-007	1.173913e+001
7.384450669695175e-007	1.178555e+001
7.384480601446697e-007	1.188016e+001
7.384540464880351e-007	1.207660e+001
7.384660191747661e-007	1.249726e+001
7.384899645482279e-007	1.342323e+001
7.385204051635341e-007	1.472943e+001
7.385496843467787e-007	1.611213e+001
7.385831607489846e-007	1.781491e+001
7.386327245048618e-007	2.044865e+001
7.386822763327805e-007	2.310820e+001
7.387232537833799e-007	2.525619e+001
7.387452127041727e-007	2.633507e+001
7.387676187603498e-007	2.733939e+001
7.387849971091098e-007	2.803801e+001
7.388048721135299e-007	2.874011e+001
7.388239476741054e-007	2.931631e+001
7.388420963788667e-007	2.975701e+001
7.388607156308402e-007	3.010163e+001
7.388742157485306e-007	3.028391e+001
7.388888400919336e-007	3.042328e+001
7.389029641896583e-007	3.051658e+001
7.389180292360909e-007	3.058198e+001
7.389322806486409e-007	3.062106e+001
7.389475158506298e-007	3.064661e+001
7.389620389694485e-007	3.066151e+001
7.389787809800041e-007	3.067208e+001
7.389970504700916e-007	3.067948e+001
7.390201178861244e-007	3.068575e+001
7.390478007351931e-007	3.069114e+001
7.390859498856983e-007	3.069665e+001
7.391348716204171e-007	3.070189e+001
7.392080368234799e-007	3.070755e+001
7.392937352856954e-007	3.071220e+001
7.393997064342184e-007	3.071609e+001
7.395228568338186e-007	3.071915e+001
