time	V(vload)	V(vsw)	I(L)
0.000000000000000e+000	9.490796e+000	-9.617130e-002	4.808577e+000
1.000033389431110e-013	9.490796e+000	-9.617130e-002	4.808577e+000
3.000100168293329e-013	9.490796e+000	3.150258e+000	4.808577e+000
7.000094948139690e-013	9.490796e+000	1.520810e+001	4.808578e+000
1.000005633855494e-012	9.490796e+000	1.938195e+001	4.808578e+000
1.080011080567545e-012	9.490796e+000	1.938195e+001	4.808578e+000
1.611115007535810e-007	9.490689e+000	1.932279e+001	4.840322e+000
3.222219214960814e-007	9.490607e+000	1.926324e+001	4.871877e+000
4.833323422385819e-007	9.490549e+000	1.920332e+001	4.903241e+000
6.444427629810823e-007	9.490515e+000	1.914301e+001	4.934416e+000
8.055531837235827e-007	9.490506e+000	1.908232e+001	4.965400e+000
9.666636044660832e-007	9.490521e+000	1.902125e+001	4.996194e+000
1.127774025208583e-006	9.490561e+000	1.895981e+001	5.026797e+000
1.447774025206683e-006	9.490711e+000	1.883670e+001	5.086975e+000
2.000000000002000e-006	9.491189e+000	1.862102e+001	5.189000e+000
2.000000100005339e-006	9.491189e+000	1.862102e+001	5.189000e+000
2.000000299998139e-006	9.491189e+000	1.550029e+001	5.189000e+000
2.000000699997617e-006	9.491189e+000	3.908652e+000	5.189000e+000
2.000000999993756e-006	9.491189e+000	-1.037797e-001	5.189000e+000
2.357143571423058e-006	9.491393e+000	-1.024084e-001	5.120430e+000
2.714286142852359e-006	9.491477e+000	-1.010372e-001	5.051871e+000
3.071428714281661e-006	9.491439e+000	-9.966623e-002	4.983324e+000
3.428571285710963e-006	9.491279e+000	-9.829551e-002	4.914788e+000
3.785713857140264e-006	9.490998e+000	-9.692501e-002	4.846263e+000
4.142856428569566e-006	9.490596e+000	-9.555474e-002	4.777749e+000
4.499998999998867e-006	9.490073e+000	-9.418470e-002	4.709247e+000
4.499999100002206e-006	9.490073e+000	-9.418470e-002	4.709247e+000
4.499999300008883e-006	9.490073e+000	3.154704e+000	4.709247e+000
4.499999700008361e-006	9.490073e+000	1.522168e+001	4.709248e+000
4.500000000004500e-006	9.490073e+000	1.939870e+001	4.709248e+000
4.661110432176350e-006	9.489886e+000	1.937276e+001	4.741112e+000
4.822220864348201e-006	9.489724e+000	1.934666e+001	4.772893e+000
4.983331296520051e-006	9.489587e+000	1.932038e+001	4.804591e+000
5.144441728691901e-006	9.489475e+000	1.929392e+001	4.836205e+000
5.305552160863750e-006	9.489387e+000	1.926730e+001	4.867737e+000
5.466662593035601e-006	9.489325e+000	1.924049e+001	4.899185e+000
5.627773025207450e-006	9.489287e+000	1.921352e+001	4.930550e+000
5.947773025205549e-006	9.489288e+000	1.915945e+001	4.992580e+000
6.267773025203649e-006	9.489388e+000	1.910473e+001	5.054263e+000
6.443805307317681e-006	9.489485e+000	1.907434e+001	5.088042e+000
6.619837589431711e-006	9.489611e+000	1.904377e+001	5.121714e+000
6.795869871545743e-006	9.489766e+000	1.901300e+001	5.155279e+000
6.971902153659774e-006	9.489949e+000	1.898204e+001	5.188735e+000
7.147934435773805e-006	9.490162e+000	1.895089e+001	5.222084e+000
7.323966717887836e-006	9.490403e+000	1.891955e+001	5.255326e+000
7.499999000001867e-006	9.490673e+000	1.888802e+001	5.288459e+000
7.499999100005206e-006	9.490673e+000	1.888802e+001	5.288459e+000
7.499999299998006e-006	9.490673e+000	1.572246e+001	5.288459e+000
7.499999699997484e-006	9.490673e+000	3.964302e+000	5.288459e+000
7.499999999993623e-006	9.490673e+000	-1.057689e-001	5.288459e+000
7.857142857136837e-006	9.491055e+000	-1.043973e-001	5.219877e+000
8.214285714280051e-006	9.491315e+000	-1.030259e-001	5.151305e+000
8.571428571423267e-006	9.491455e+000	-1.016546e-001	5.082743e+000
8.928571428566481e-006	9.491473e+000	-1.002836e-001	5.014192e+000
9.285714285709695e-006	9.491370e+000	-9.891275e-002	4.945650e+000
9.642857142852909e-006	9.491145e+000	-9.754212e-002	4.877118e+000
9.999999999996123e-006	9.490800e+000	-9.617168e-002	4.808596e+000
1.000000009999946e-005	9.490800e+000	-9.617168e-002	4.808596e+000
1.000000030000614e-005	9.490800e+000	3.150261e+000	4.808596e+000
1.000000070000562e-005	9.490800e+000	1.520811e+001	4.808597e+000
1.000000100000176e-005	9.490800e+000	1.938197e+001	4.808597e+000
1.016111143217361e-005	9.490693e+000	1.932281e+001	4.840342e+000
1.032222186434546e-005	9.490611e+000	1.926326e+001	4.871896e+000
1.048333229651731e-005	9.490553e+000	1.920333e+001	4.903261e+000
1.064444272868916e-005	9.490519e+000	1.914303e+001	4.934435e+000
1.080555316086101e-005	9.490510e+000	1.908234e+001	4.965419e+000
1.096666359303286e-005	9.490525e+000	1.902127e+001	4.996213e+000
1.112777402520471e-005	9.490564e+000	1.895982e+001	5.026817e+000
1.144777402520281e-005	9.490716e+000	1.883672e+001	5.086994e+000
1.199999999999812e-005	9.491194e+000	1.862104e+001	5.189020e+000
1.200000010000146e-005	9.491194e+000	1.862104e+001	5.189020e+000
1.200000029999426e-005	9.491194e+000	1.550031e+001	5.189020e+000
1.200000069999374e-005	9.491194e+000	3.908654e+000	5.189019e+000
1.200000099998988e-005	9.491194e+000	-1.037801e-001	5.189019e+000
1.235714357141918e-005	9.491398e+000	-1.024087e-001	5.120449e+000
1.271428614284848e-005	9.491481e+000	-1.010376e-001	5.051890e+000
1.307142871427778e-005	9.491442e+000	-9.966662e-002	4.983343e+000
1.342857128570709e-005	9.491283e+000	-9.829590e-002	4.914807e+000
1.378571385713639e-005	9.491002e+000	-9.692540e-002	4.846282e+000
1.414285642856569e-005	9.490600e+000	-9.555513e-002	4.777769e+000
1.449999899999499e-005	9.490077e+000	-9.418508e-002	4.709267e+000
1.449999909999833e-005	9.490077e+000	-9.418508e-002	4.709266e+000
1.449999930000501e-005	9.490077e+000	3.154702e+000	4.709266e+000
