time	V(vout)	V(vsw)	I(L)
0.000000000000000e+000	1.603842e+001	-4.877885e-002	4.878014e+000
1.000033389431110e-013	1.603842e+001	-4.877884e-002	4.878014e+000
3.000030779354290e-013	1.603842e+001	3.876704e+000	4.878014e+000
7.000025559200651e-013	1.603842e+001	1.845710e+001	4.878014e+000
9.999986949615902e-013	1.603842e+001	2.350412e+001	4.878014e+000
1.079997202779737e-012	1.603842e+001	2.350412e+001	4.878014e+000
1.153970487182450e-007	1.603840e+001	2.333447e+001	4.894972e+000
2.307930174392872e-007	1.603838e+001	2.316431e+001	4.911548e+000
3.461889861603294e-007	1.603836e+001	2.299363e+001	4.927743e+000
4.615849548813716e-007	1.603835e+001	2.282242e+001	4.943557e+000
5.769809236024137e-007	1.603834e+001	2.265070e+001	4.958990e+000
6.923768923234560e-007	1.603834e+001	2.247846e+001	4.974041e+000
8.077728610444979e-007	1.603834e+001	2.230570e+001	4.988711e+000
9.677728610435477e-007	1.603835e+001	2.206537e+001	5.008366e+000
1.127772861042597e-006	1.603836e+001	2.182413e+001	5.027250e+000
1.287772861041647e-006	1.603839e+001	2.158202e+001	5.045361e+000
1.515000999999239e-006	1.603843e+001	2.123693e+001	5.069929e+000
1.675000999998288e-006	1.603847e+001	2.099286e+001	5.086171e+000
1.675001100001627e-006	1.603847e+001	2.099286e+001	5.086171e+000
1.675001300001366e-006	1.603847e+001	1.748558e+001	5.086171e+000
1.675001700000844e-006	1.603847e+001	4.458479e+000	5.086171e+000
1.675001999996983e-006	1.603847e+001	-5.086038e-002	5.086170e+000
1.910715999998187e-006	1.603849e+001	-5.010166e-002	5.010298e+000
2.146429999999390e-006	1.603846e+001	-4.934299e-002	4.934431e+000
2.382144000000594e-006	1.603839e+001	-4.858435e-002	4.858568e+000
2.617858000001797e-006	1.603828e+001	-4.782577e-002	4.782709e+000
2.853572000003000e-006	1.603812e+001	-4.706722e-002	4.706854e+000
3.089286000004204e-006	1.603792e+001	-4.630872e-002	4.631004e+000
3.325000000005407e-006	1.603768e+001	-4.555027e-002	4.555159e+000
3.325000100001807e-006	1.603768e+001	-4.555027e-002	4.555159e+000
3.325000300001546e-006	1.603768e+001	4.120701e+000	4.555159e+000
3.325000700001024e-006	1.603768e+001	1.959538e+001	4.555159e+000
3.325000999997163e-006	1.603768e+001	2.495196e+001	4.555159e+000
3.737539670980212e-006	1.603729e+001	2.488853e+001	4.628425e+000
4.150078341963262e-006	1.603697e+001	2.482412e+001	4.701145e+000
4.562617012946310e-006	1.603673e+001	2.475874e+001	4.773321e+000
4.975155683929359e-006	1.603656e+001	2.469237e+001	4.844952e+000
5.387694354912408e-006	1.603646e+001	2.462502e+001	4.916038e+000
5.800233025895457e-006	1.603644e+001	2.455670e+001	4.986579e+000
6.212771696878505e-006	1.603649e+001	2.448739e+001	5.056576e+000
6.517947311610635e-006	1.603658e+001	2.443551e+001	5.107972e+000
6.823122926342763e-006	1.603670e+001	2.438311e+001	5.159043e+000
7.128298541074893e-006	1.603686e+001	2.433021e+001	5.209788e+000
7.433474155807022e-006	1.603706e+001	2.427679e+001	5.260208e+000
7.738649770539152e-006	1.603730e+001	2.422287e+001	5.310302e+000
8.043825385271280e-006	1.603757e+001	2.416844e+001	5.360071e+000
8.349001000003409e-006	1.603788e+001	2.411350e+001	5.409515e+000
8.349001099999809e-006	1.603788e+001	2.411350e+001	5.409515e+000
8.349001299999548e-006	1.603788e+001	2.008557e+001	5.409515e+000
8.349001699999026e-006	1.603788e+001	5.124711e+000	5.409514e+000
8.349002000002104e-006	1.603788e+001	-5.409385e-002	5.409514e+000
8.584858857145098e-006	1.603809e+001	-5.333453e-002	5.333582e+000
8.820715714288091e-006	1.603826e+001	-5.257524e-002	5.257653e+000
9.056572571431087e-006	1.603838e+001	-5.181598e-002	5.181727e+000
9.292429428574081e-006	1.603845e+001	-5.105676e-002	5.105805e+000
9.528286285717074e-006	1.603849e+001	-5.029758e-002	5.029887e+000
9.764143142860068e-006	1.603848e+001	-4.953843e-002	4.953972e+000
1.000000000000306e-005	1.603842e+001	-4.877932e-002	4.878061e+000
1.000000009999946e-005	1.603842e+001	-4.877931e-002	4.878061e+000
1.000000029999920e-005	1.603842e+001	3.876660e+000	4.878061e+000
1.000000069999868e-005	1.603842e+001	1.845683e+001	4.878061e+000
1.000000100000176e-005	1.603842e+001	2.350385e+001	4.878061e+000
1.011539698015116e-005	1.603840e+001	2.333421e+001	4.895018e+000
1.023079296030056e-005	1.603838e+001	2.316404e+001	4.911594e+000
1.034618894044996e-005	1.603836e+001	2.299336e+001	4.927788e+000
1.046158492059936e-005	1.603835e+001	2.282216e+001	4.943601e+000
1.057698090074876e-005	1.603834e+001	2.265043e+001	4.959033e+000
1.069237688089816e-005	1.603834e+001	2.247819e+001	4.974084e+000
1.080777286104756e-005	1.603834e+001	2.230543e+001	4.988753e+000
1.096777286104661e-005	1.603835e+001	2.206510e+001	5.008408e+000
1.112777286104566e-005	1.603837e+001	2.182385e+001	5.027291e+000
1.128777286104471e-005	1.603839e+001	2.158174e+001	5.045401e+000
1.151500100000230e-005	1.603843e+001	2.123665e+001	5.069968e+000
1.167500100000135e-005	1.603848e+001	2.099258e+001	5.086209e+000
1.167500109999775e-005	1.603848e+001	2.099258e+001	5.086209e+000
1.167500129999749e-005	1.603848e+001	1.748534e+001	5.086209e+000
1.167500169999697e-005	1.603848e+001	4.458478e+000	5.086208e+000
1.167500200000005e-005	1.603848e+001	-5.086076e-002	5.086208e+000
1.191071600000026e-005	1.603849e+001	-5.010204e-002	5.010336e+000
1.214643000000047e-005	1.603847e+001	-4.934337e-002	4.934469e+000
1.238214400000068e-005	1.603840e+001	-4.858473e-002	4.858605e+000
1.261785800000090e-005	1.603828e+001	-4.782615e-002	4.782746e+000
1.285357200000111e-005	1.603813e+001	-4.706760e-002	4.706892e+000
1.308928600000132e-005	1.603793e+001	-4.630910e-002	4.631042e+000
1.332500000000153e-005	1.603768e+001	-4.555064e-002	4.555196e+000
1.332500009999793e-005	1.603768e+001	-4.555064e-002	4.555196e+000
1.332500029999767e-005	1.603768e+001	4.120717e+000	4.555196e+000
1.332500069999715e-005	1.603768e+001	1.959539e+001	4.555197e+000
1.332500100000023e-005	1.603768e+001	2.495205e+001	4.555197e+000
1.373753983729072e-005	1.603729e+001	2.488862e+001	4.628463e+000
1.415007867458121e-005	1.603697e+001	2.482422e+001	4.701185e+000
1.456261751187170e-005	1.603673e+001	2.475883e+001	4.773361e+000
1.497515634916220e-005	1.603656e+001	2.469246e+001	4.844993e+000
1.538769518645269e-005	1.603647e+001	2.462511e+001	4.916080e+000
1.580023402374318e-005	1.603645e+001	2.455679e+001	4.986622e+000
1.621277286103368e-005	1.603650e+001	2.448748e+001	5.056619e+000
1.650436438887376e-005	1.603658e+001	2.443792e+001	5.105733e+000
1.679595591671385e-005	1.603669e+001	2.438789e+001	5.154551e+000
1.708754744455393e-005	1.603684e+001	2.433739e+001	5.203073e+000
1.737913897239402e-005	1.603702e+001	2.428643e+001	5.251299e+000
1.767073050023410e-005	1.603724e+001	2.423500e+001	5.299228e+000
1.796232202807419e-005	1.603750e+001	2.418311e+001	5.346860e+000
1.825391355591427e-005	1.603779e+001	2.413076e+001	5.394197e+000
1.828865122365658e-005	1.603782e+001	2.412449e+001	5.399812e+000
1.834900100000647e-005	1.603789e+001	2.411359e+001	5.409561e+000
1.834900110000981e-005	1.603789e+001	2.411359e+001	5.409561e+000
1.834900130000955e-005	1.603789e+001	2.008564e+001	5.409561e+000
1.834900170000903e-005	1.603789e+001	5.124660e+000	5.409561e+000
1.834900200000517e-005	1.603789e+001	-5.409431e-002	5.409561e+000
1.834900208000367e-005	1.603789e+001	-5.409431e-002	5.409561e+000
1.858485892571831e-005	1.603810e+001	-5.333499e-002	5.333628e+000
1.882071577143295e-005	1.603826e+001	-5.257570e-002	5.257699e+000
1.905657261714758e-005	1.603838e+001	-5.181644e-002	5.181774e+000
1.929242946286222e-005	1.603846e+001	-5.105722e-002	5.105852e+000
1.952828630857685e-005	1.603849e+001	-5.029804e-002	5.029933e+000
1.976414315429149e-005	1.603848e+001	-4.953889e-002	4.954018e+000
2.000000000000612e-005	1.603843e+001	-4.877977e-002	4.878107e+000
2.000000010000252e-005	1.603843e+001	-4.877979e-002	4.878107e+000
2.000000030000226e-005	1.603843e+001	3.876616e+000	4.878107e+000
2.000000070000174e-005	1.603843e+001	1.845669e+001	4.878107e+000
2.000000099999788e-005	1.603843e+001	2.350359e+001	4.878107e+000
2.011539681383984e-005	1.603840e+001	2.333395e+001	4.895064e+000
2.023079262768179e-005	1.603838e+001	2.316378e+001	4.911639e+000
2.034618844152375e-005	1.603837e+001	2.299310e+001	4.927833e+000
2.046158425536571e-005	1.603836e+001	2.282189e+001	4.943645e+000
2.057698006920766e-005	1.603835e+001	2.265017e+001	4.959077e+000
2.069237588304962e-005	1.603835e+001	2.247792e+001	4.974127e+000
2.080777169689158e-005	1.603835e+001	2.230516e+001	4.988795e+000
2.096777169689063e-005	1.603836e+001	2.206482e+001	5.008448e+000
2.112777169688967e-005	1.603837e+001	2.182358e+001	5.027331e+000
2.128777169688872e-005	1.603840e+001	2.158146e+001	5.045440e+000
2.151500099999842e-005	1.603844e+001	2.123637e+001	5.070006e+000
2.167500099999747e-005	1.603848e+001	2.099230e+001	5.086246e+000
2.167500109999387e-005	1.603848e+001	2.099230e+001	5.086246e+000
2.167500129999361e-005	1.603848e+001	1.748511e+001	5.086246e+000
2.167500169999309e-005	1.603848e+001	4.458417e+000	5.086245e+000
2.167500199999617e-005	1.603848e+001	-5.086113e-002	5.086245e+000
2.191071599999737e-005	1.603850e+001	-5.010241e-002	5.010373e+000
2.214642999999857e-005	1.603847e+001	-4.934373e-002	4.934505e+000
2.238214399999978e-005	1.603840e+001	-4.858510e-002	4.858642e+000
2.261785800000098e-005	1.603829e+001	-4.782651e-002	4.782783e+000
2.285357200000219e-005	1.603813e+001	-4.706797e-002	4.706929e+000
2.308928600000339e-005	1.603793e+001	-4.630947e-002	4.631079e+000
2.332500000000459e-005	1.603769e+001	-4.555101e-002	4.555233e+000
2.332500010000099e-005	1.603769e+001	-4.555100e-002	4.555233e+000
2.332500030000073e-005	1.603769e+001	4.120732e+000	4.555233e+000
2.332500070000021e-005	1.603769e+001	1.959553e+001	4.555233e+000
2.332500099999635e-005	1.603769e+001	2.495215e+001	4.555233e+000
2.373753967097940e-005	1.603730e+001	2.488872e+001	4.628500e+000
2.415007834196245e-005	1.603698e+001	2.482431e+001	4.701223e+000
2.456261701294550e-005	1.603674e+001	2.475892e+001	4.773400e+000
2.497515568392855e-005	1.603657e+001	2.469255e+001	4.845032e+000
2.538769435491159e-005	1.603647e+001	2.462521e+001	4.916120e+000
2.580023302589464e-005	1.603645e+001	2.455688e+001	4.986663e+000
2.621277169687769e-005	1.603650e+001	2.448757e+001	5.056661e+000
2.651794731160982e-005	1.603659e+001	2.443569e+001	5.108058e+000
2.682312292634195e-005	1.603671e+001	2.438329e+001	5.159129e+000
2.712829854107408e-005	1.603687e+001	2.433038e+001	5.209875e+000
2.743347415580621e-005	1.603707e+001	2.427697e+001	5.260296e+000
2.773864977053834e-005	1.603731e+001	2.422305e+001	5.310392e+000
2.804382538527047e-005	1.603758e+001	2.416861e+001	5.360162e+000
2.834900100000259e-005	1.603789e+001	2.411367e+001	5.409606e+000
2.834900110000593e-005	1.603789e+001	2.411367e+001	5.409606e+000
2.834900130000567e-005	1.603789e+001	2.008571e+001	5.409606e+000
2.834900170000515e-005	1.603789e+001	5.124679e+000	5.409606e+000
2.834900200000129e-005	1.603789e+001	-5.409477e-002	5.409606e+000
2.858485885714428e-005	1.603810e+001	-5.333544e-002	5.333673e+000
2.882071571428728e-005	1.603827e+001	-5.257615e-002	5.257744e+000
2.905657257143027e-005	1.603839e+001	-5.181689e-002	5.181819e+000
2.929242942857326e-005	1.603847e+001	-5.105767e-002	5.105897e+000
2.952828628571626e-005	1.603850e+001	-5.029849e-002	5.029978e+000
2.976414314285926e-005	1.603849e+001	-4.953934e-002	4.954063e+000
3.000000000000225e-005	1.603843e+001	-4.878023e-002	4.878152e+000
3.000000010000559e-005	1.603843e+001	-4.878020e-002	4.878152e+000
3.000000030000533e-005	1.603843e+001	3.876572e+000	4.878152e+000
3.000000070000480e-005	1.603843e+001	1.845648e+001	4.878152e+000
3.000000100000094e-005	1.603843e+001	2.350333e+001	4.878152e+000
3.011539698015034e-005	1.603841e+001	2.333368e+001	4.895108e+000
3.023079296029974e-005	1.603839e+001	2.316352e+001	4.911682e+000
3.034618894044914e-005	1.603837e+001	2.299283e+001	4.927876e+000
3.046158492059854e-005	1.603836e+001	2.282162e+001	4.943687e+000
3.057698090074794e-005	1.603836e+001	2.264990e+001	4.959118e+000
3.069237688089734e-005	1.603835e+001	2.247765e+001	4.974168e+000
3.080777286104675e-005	1.603835e+001	2.230488e+001	4.988836e+000
3.096777286104580e-005	1.603836e+001	2.206455e+001	5.008488e+000
3.112777286104485e-005	1.603838e+001	2.182330e+001	5.027369e+000
3.128777286104389e-005	1.603840e+001	2.158118e+001	5.045478e+000
3.151500100000149e-005	1.603845e+001	2.123609e+001	5.070042e+000
3.167500100000054e-005	1.603848e+001	2.099202e+001	5.086281e+000
3.167500110000387e-005	1.603848e+001	2.099202e+001	5.086281e+000
3.167500130000361e-005	1.603848e+001	1.748487e+001	5.086281e+000
3.167500170000309e-005	1.603848e+001	4.458297e+000	5.086281e+000
3.167500199999923e-005	1.603848e+001	-5.086149e-002	5.086281e+000
3.191071599999944e-005	1.603850e+001	-5.010276e-002	5.010409e+000
3.214642999999966e-005	1.603848e+001	-4.934409e-002	4.934541e+000
3.238214399999987e-005	1.603841e+001	-4.858545e-002	4.858678e+000
3.261785800000008e-005	1.603829e+001	-4.782687e-002	4.782819e+000
3.285357200000030e-005	1.603814e+001	-4.706832e-002	4.706964e+000
3.308928600000051e-005	1.603794e+001	-4.630982e-002	4.631114e+000
3.332500000000072e-005	1.603769e+001	-4.555136e-002	4.555268e+000
3.332500010000405e-005	1.603769e+001	-4.555142e-002	4.555268e+000
3.332500030000379e-005	1.603769e+001	4.120747e+000	4.555268e+000
3.332500070000327e-005	1.603769e+001	1.959561e+001	4.555269e+000
3.332500099999941e-005	1.603769e+001	2.495224e+001	4.555269e+000
3.334597241262671e-005	1.603767e+001	2.494904e+001	4.559005e+000
3.375551533382759e-005	1.603729e+001	2.488603e+001	4.631716e+000
3.416505825502847e-005	1.603698e+001	2.482205e+001	4.703890e+000
3.457460117622935e-005	1.603674e+001	2.475710e+001	4.775527e+000
3.498414409743023e-005	1.603657e+001	2.469119e+001	4.846626e+000
3.539368701863110e-005	1.603648e+001	2.462431e+001	4.917188e+000
3.580322993983198e-005	1.603646e+001	2.455647e+001	4.987213e+000
3.621277286103286e-005	1.603651e+001	2.448766e+001	5.056701e+000
3.651794830945755e-005	1.603659e+001	2.443577e+001	5.108099e+000
3.682312375788223e-005	1.603672e+001	2.438338e+001	5.159171e+000
3.712829920630692e-005	1.603688e+001	2.433047e+001	5.209918e+000
3.743347465473160e-005	1.603708e+001	2.427706e+001	5.260339e+000
3.773865010315629e-005	1.603731e+001	2.422313e+001	5.310435e+000
3.804382555158097e-005	1.603759e+001	2.416870e+001	5.360206e+000
3.834900100000566e-005	1.603790e+001	2.411376e+001	5.409650e+000
3.834900110000206e-005	1.603790e+001	2.411376e+001	5.409650e+000
3.834900130000180e-005	1.603790e+001	2.008578e+001	5.409650e+000
3.834900170000127e-005	1.603790e+001	5.124765e+000	5.409650e+000
3.834900200000435e-005	1.603790e+001	-5.409520e-002	5.409649e+000
3.856200171429034e-005	1.603809e+001	-5.340947e-002	5.341076e+000
3.877500142857633e-005	1.603825e+001	-5.272376e-002	5.272505e+000
3.898800114286231e-005	1.603836e+001	-5.203807e-002	5.203936e+000
3.920100085714830e-005	1.603845e+001	-5.135242e-002	5.135371e+000
3.941400057143428e-005	1.603850e+001	-5.066679e-002	5.066808e+000
3.962700028572027e-005	1.603851e+001	-4.998119e-002	4.998248e+000
3.984000000000626e-005	1.603848e+001	-4.929562e-002	4.929691e+000
3.991354772208550e-005	1.603847e+001	-4.905891e-002	4.906020e+000
3.999999999999837e-005	1.603844e+001	-4.878066e-002	4.878195e+000
